Id,Label,timeset,modularity_class,Availability_Status,Research_Notes,Contact_Required,Strategic_Priority,Website_URL,Product_Count,Pricing_Available,New_Products,Discontinued_Products,Technical_Support,Certifications,Supply_Chain_Risk,Contact_Info,Last_Updated
R1901001,Pomegranate Seed Oil,,7,Unknown,Requires verification with CJP Chemicals,Yes,Medium,,,,,,,,,,
R1901006,Borage Oil Refined GLA 20PCT,,7,Unknown,Requires verification with CJP Chemicals,Yes,Medium,,,,,,,,,,
R1902000,Oronal LCG,,7,Unknown,Requires verification with CJP Chemicals,Yes,Medium,,,,,,,,,,
R1902001,Proteol OAT,,7,Unknown,Requires verification with CJP Chemicals,Yes,Medium,,,,,,,,,,
R1905014,Sepicalm S,,7,Unknown,Requires verification with CJP Chemicals,Yes,Medium,,,,,,,,,,
R1906000,Montanov L,,7,Unknown,Requires verification with CJP Chemicals,Yes,Medium,,,,,,,,,,
R1906001,Montanov S,,7,Unknown,Requires verification with CJP Chemicals,Yes,Medium,,,,,,,,,,
R1911002,Sepimax Zen,,7,Unknown,Requires verification with CJP Chemicals,Yes,Medium,,,,,,,,,,
R1913014,Grapefruit Oil Pink,,8,Unknown,Requires verification with Clive Teubes CC,Yes,Low,,,,,,,,,,
R1905004,Hyaluronic Acid HMW,,9,Unknown,Requires verification with Cosmetic Ingredients,Yes,High,,,,,,,,,,
R1901005,Arlamol LST-LQ-(MH),,10,Available,Croda emollient ingredient,No,High,,,,,,,,,,
R1905002,Chronodyn,,10,Available,Croda anti-aging active,No,High,,,,,,,,,,
R1905003,Biopeptide CL,,10,Available,Croda peptide ingredient,No,High,,,,,,,,,,
R1905025,Skin Tightener-ST(TM) PH,,10,Available,Croda firming active,No,High,,,,,,,,,,
R1905026,Beautifeye,,10,Available,Croda eye care active,No,High,,,,,,,,,,
R1905033,Evermat,,10,Available,Croda mattifying active,No,High,,,,,,,,,,
R1905034,Intenslim,,10,Available,Croda slimming active,No,High,,,,,,,,,,
R1901002,Cetiol Sensoft,,11,Unknown,Requires verification with Chemgrit Cosmetics,Yes,Medium,,,,,,,,,,
R1901003,Cetiol B,,11,Unknown,Requires verification with Chemgrit Cosmetics,Yes,Medium,,,,,,,,,,
R1905019,Exfo-Bio,,11,Unknown,Requires verification with Chemgrit Cosmetics,Yes,Medium,,,,,,,,,,
R1905029,Cosmedia DC,,11,Unknown,Requires verification with Chemgrit Cosmetics,Yes,Medium,,,,,,,,,,
R1905030,Uvinul T150,,11,Unknown,Requires verification with Chemgrit Cosmetics,Yes,Medium,,,,,,,,,,
R1905043,Cetiol SB45,,11,Unknown,Requires verification with Chemgrit Cosmetics,Yes,Medium,,,,,,,,,,
R1905015,Aerosil R972,,12,Unknown,Requires verification with Protea Chemicals,Yes,Low,,,,,,,,,,
R1905022,Drieline 1S,,13,Unknown,Requires verification with Orkila,Yes,Low,,,,,,,,,,
R1905008,Hydranov P,,14,Unknown,Requires verification with Vantage Speciality,Yes,Medium,,,,,,,,,,
R1905055,Ceramidone,,14,Unknown,Requires verification with Vantage Speciality,Yes,Medium,,,,,,,,,,
R1905000,Allistin P5,,15,Unknown,Requires verification with Exsymol,Yes,Low,,,,,,,,,,
R1905020,LPD's Asiatic Centella,,16,Unknown,Requires verification with Materia Medica,Yes,Medium,,,,,,,,,,
R1905018,Glyco Repair,,17,Available,Silab ingredient via Meganede CC,Yes,High,,,,,,,,,,
R1905027,Deglysome,,17,Available,Silab ingredient via Meganede CC,Yes,High,,,,,,,,,,
R1905035,Sebonormine OP,,17,Available,Silab ingredient via Meganede CC,Yes,High,,,,,,,,,,
R1905041,Unflamagyl,,17,Available,Silab ingredient via Meganede CC,Yes,High,,,,,,,,,,
R1905046,Dermapur HP OP,,17,Available,Silab ingredient via Meganede CC,Yes,High,,,,,,,,,,
R1905048,Vitagenyl,,17,Available,Silab ingredient via Meganede CC,Yes,High,,,,,,,,,,
R1905049,Detoxyl OP,,17,Available,Silab ingredient via Meganede CC,Yes,High,,,,,,,,,,
R1905050,Celldetox,,17,Available,Silab ingredient via Meganede CC,Yes,High,,,,,,,,,,
R1905051,Mitokinyl,,17,Available,Silab ingredient via Meganede CC,Yes,High,,,,,,,,,,
R1905052,Fermiskin GR,,17,Available,Silab ingredient via Meganede CC,Yes,High,,,,,,,,,,
R1905053,Retilactyl D,,17,Available,Silab ingredient via Meganede CC,Yes,High,,,,,,,,,,
R1905054,Raffermine 2,,17,Available,Silab ingredient via Meganede CC,Yes,High,,,,,,,,,,
R1905056,Eternaline,,17,Available,Silab ingredient via Meganede CC,Yes,High,,,,,,,,,,
R1905057,Oxygeskin,,17,Available,Silab ingredient via Meganede CC,Yes,High,,,,,,,,,,
R1905058,Aquaphyline EL,,17,Available,Silab ingredient via Meganede CC,Yes,High,,,,,,,,,,
R1905009,Caffeine,,18,Unknown,Requires verification with Merck,Yes,Medium,,,,,,,,,,
R1905010,Malic Acid,,18,Unknown,Requires verification with Merck,Yes,Medium,,,,,,,,,,
R1905032,Ronacare AP,,18,Unknown,Requires verification with Merck,Yes,Medium,,,,,,,,,,
R1905044,Acnacidol BG,,19,Unknown,Requires verification with Millchem,Yes,Low,,,,,,,,,,
R1905001,Rayolys D,,20,Available,Greentech botanical via Natchem CC,Yes,High,,,,,,,,,,
R1905037,ARP 100,,20,Available,Greentech botanical via Natchem CC,Yes,High,,,,,,,,,,
R1905045,Meadowsweet Medulat 220016,,20,Available,Greentech botanical via Natchem CC,Yes,High,,,,,,,,,,
R1913000,Ivy Cosmelene Ext,,20,Available,Greentech botanical via Natchem CC,Yes,High,,,,,,,,,,
R1913001,St John's Wort HG Ext,,20,Available,Greentech botanical via Natchem CC,Yes,High,,,,,,,,,,
R1913002,Soapwort HG (3009) Extr,,20,Available,Greentech botanical via Natchem CC,Yes,High,,,,,,,,,,
R1913003,Horsetail Cosmelene Ext,,20,Available,Greentech botanical via Natchem CC,Yes,High,,,,,,,,,,
R1913004,Centella Asiatica Cosmelene Ex,,20,Available,Greentech botanical via Natchem CC,Yes,High,,,,,,,,,,
R1913005,Yarrow Phytelene EG 472 Ext,,20,Available,Greentech botanical via Natchem CC,Yes,High,,,,,,,,,,
R1913006,Geranium HG Ext,,20,Available,Greentech botanical via Natchem CC,Yes,High,,,,,,,,,,
R1913007,Lavender HG Ext,,20,Available,Greentech botanical via Natchem CC,Yes,High,,,,,,,,,,
R1913008,Rosemary HG Ext,,20,Available,Greentech botanical via Natchem CC,Yes,High,,,,,,,,,,
R1913009,Arnica Phytenele EG 001 Ext,,20,Available,Greentech botanical via Natchem CC,Yes,High,,,,,,,,,,
R1913011,Phytelene EGX 247 (BG) 620012,,20,Available,Greentech botanical via Natchem CC,Yes,High,,,,,,,,,,
R1913012,Phytelene EGX 773 (BG) 620032,,20,Available,Greentech botanical via Natchem CC,Yes,High,,,,,,,,,,
R1913013,Passion Flower Cosmelene,,20,Available,Greentech botanical via Natchem CC,Yes,High,,,,,,,,,,
R1902002,Rewoderm S1333 KM 5,,21,Unknown,Requires verification with Orchem,Yes,Medium,,,,,,,,,,
R1902999,ColaMate RM / replacement Rewoderm S1333 KM 5,,21,Unknown,Requires verification with Orchem,Yes,Medium,,,,,,,,,,
R1901004,Waglinol 3/929,,22,Unknown,Requires verification with Savannah Fine Chem,Yes,Medium,,,,,,,,,,
R1905005,AA2G,,22,Unknown,Requires verification with Savannah Fine Chem,Yes,Medium,,,,,,,,,,
R1905006,Hydromanil,,22,Unknown,Requires verification with Savannah Fine Chem,Yes,Medium,,,,,,,,,,
R1905007,Acquacell,,22,Unknown,Requires verification with Savannah Fine Chem,Yes,Medium,,,,,,,,,,
R1905031,Ten's Up,,22,Unknown,Requires verification with Savannah Fine Chem,Yes,Medium,,,,,,,,,,
R1905028,Celligent,,23,Unknown,Requires verification with IMCD South Africa,Yes,Medium,,,,,,,,,,
R1905040,Defensil Plus,,23,Unknown,Requires verification with IMCD South Africa,Yes,Medium,,,,,,,,,,
R1905013,Genencare OSMS BA,,23,Unknown,Requires verification with IMCD South Africa,Yes,Medium,,,,,,,,,,
R1905038,ProRenew Complex CLR,,23,Unknown,Requires verification with IMCD South Africa,Yes,Medium,,,,,,,,,,
